image,xmin,ymin,xmax,ymax,label
107.jpg,190.7016056,185.1818182,322.5103576,386.7402597,Transformer
108.jpg,217.1473106,70.96536797,348.5362895,275.4632035,Transformer
109.jpg,201.1959329,294.7792208,285.5703252,388,Transformer
11.jpg,199.0970675,282.6017316,282.2121404,388,Transformer
110.jpg,219.2461761,65.08658009,426.6140853,350.6277056,Transformer
111.jpg,244.8523349,187.2813853,319.5719459,257.8268398,Transformer
114.jpg,240.2348308,248.5887446,315.374215,363.2251082,Transformer
115.jpg,233.9382344,87.76190476,344.7583316,261.6060606,Transformer
116.jpg,295.2251064,226.3333333,364.4876671,335.9307359,Transformer
117.jpg,246.5314273,77.26406926,317.4730804,187.2813853,Transformer
118.jpg,205.3936639,191.9004329,274.6562247,294.3593074,Transformer
119.jpg,256.6059816,132.6926407,321.6708114,194.8398268,Transformer
120.jpg,205.3936639,295.6190476,289.7680561,387.5800866,Transformer
121.jpg,210.430941,144.4502165,289.348283,256.1471861,Transformer
122.jpg,199.9366137,141.9307359,268.7794013,209.95671,Transformer
123.jpg,223.73906,175.1038961,291.4471485,284.2813853,Transformer
125.jpg,206.2332101,95.32034632,275.915544,203.2380952,Transformer
126.jpg,242.3336963,127.2337662,307.3985261,193.5800866,Transformer
127.jpg,236.8766461,105.8181818,325.0289962,241.4502165,Transformer
128.jpg,239.6904376,135.6320346,285.1505521,224.6536797,Transformer
129.jpg,279.6935018,163.7662338,351.4747012,293.0995671,Transformer
130.jpg,241.4941501,177.6233766,322.5103576,255.3073593,Transformer
131.jpg,221.3450415,205.3376623,292.2866947,314.9350649,Transformer
132.jpg,215.4682182,168.8051948,256.6059816,250.2683983,Transformer
133.jpg,207.0727563,2.0995671,250.7291582,84.82251082,Transformer
134.jpg,257.4455278,227.1731602,311.176484,281.3419913,Transformer
136.jpg,250.3093851,191.9004329,288.9285099,274.6233766,Transformer
137.jpg,248.2105197,41.15151515,284.730779,125.1341991,Transformer
138.jpg,242.7534694,148.6493506,316.2137611,254.047619,Transformer
139.jpg,188.6027401,15.95670996,321.6708114,209.1168831,Transformer
140.jpg,200.7761598,102.4588745,263.7421242,182.6623377,Transformer
141.jpg,208.7518487,177.2034632,271.2980399,287.6406926,Transformer
142.jpg,253.2477968,163.3463203,325.4487692,280.9220779,Transformer
143.jpg,256.1862085,0.83982684,330.9058195,103.7186147,Transformer
144.jpg,169.2931777,0.41991342,239.3952846,77.68398268,Transformer
145.jpg,223.0241339,133.952381,311.176484,219.1948052,Transformer
147.jpg,222.1845877,123.034632,298.5832911,227.5930736,Transformer
148.jpg,150.4033884,196.5194805,234.7777806,316.1948052,Transformer
149.jpg,156.2802117,6.298701299,239.8150577,126.3939394,Transformer
150.jpg,190.7016056,52.06926407,305.2996607,214.1558442,Transformer
151.jpg,217.5670837,338.8701299,324.18945,388,Transformer
152.jpg,119.3401793,10.4978355,191.5411517,100.3593074,Transformer
153.jpg,224.5786062,97.83982684,289.7680561,163.3463203,Transformer
154.jpg,237.2964192,134.3722944,303.2007952,222.1341991,Transformer
155.jpg,243.5930156,0.83982684,308.2380723,84.4025974,Transformer
156.jpg,180.6270513,0.83982684,338.0419621,217.9350649,Transformer
158.jpg,144.526565,323.3333333,239.3952846,388,Transformer
159.jpg,141.1683803,123.034632,230.5800496,249.8484848,Transformer
160.jpg,254.9268892,127.2337662,317.8928535,187.2813853,Transformer
161.jpg,210.430941,334.6709957,292.7064678,388,Transformer
162.jpg,212.9495796,41.15151515,294.3855602,152.4285714,Transformer
163.jpg,190.7016056,91.54112554,297.7437449,185.1818182,Transformer
164.jpg,211.6902603,76.004329,315.793988,215.8354978,Transformer
165.jpg,263.7421242,76.42424242,335.5233235,242.2900433,Transformer
166.jpg,191.1213786,106.2380952,296.4844256,251.9480519,Transformer
167.jpg,210.8507141,144.030303,292.7064678,239.3506494,Transformer
169.jpg,214.2088989,176.7835498,322.9301307,317.8744589,Transformer
170.jpg,319.1521728,0,429.552497,110.017316,Transformer
171.jpg,207.0727563,125.974026,294.3855602,253.6277056,Transformer
172.jpg,212.9495796,157.047619,286.8296444,267.4848485,Transformer
173.jpg,263.197731,272.9437229,328.806954,371.2034632,Transformer
174.jpg,282.9270665,86.08225108,381.6983641,229.6926407,Transformer
175.jpg,211.6902603,141.9307359,287.2494175,208.6969697,Transformer
176.jpg,212.4051864,238.9307359,293.546014,360.2857143,Transformer
177.jpg,228.7763371,47.03030303,339.3012814,214.5757576,Transformer
178.jpg,196.5784289,176.7835498,257.7406807,285.5411255,Transformer
18.jpg,199.5168406,89.86147186,283.4714597,209.1168831,Transformer
180.jpg,202.8750253,184.7619048,284.730779,319.5541126,Transformer
181.jpg,217.1473106,110.8571429,303.2007952,239.7705628,Transformer
